"label","id"
"Ludwig van Beethoven","http://en.wikipedia.org/wiki/Ludwig_van_Beethoven"
"Johann Sebastian Bach","http://en.wikipedia.org/wiki/Johann_Sebastian_Bach"
"Wolfgang Amadeus Mozart","http://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart"
"George Frideric Handel","http://en.wikipedia.org/wiki/George_Frideric_Handel"
